杭州爱丁堡假日酒店,杭州爱丁堡假日酒店,243,4.6
浙江文华大酒店,浙江文华大酒店,255,4.7
杭州舒之圣雅商务酒店,杭州舒之圣雅商务酒店,276,4.7
全季酒店（杭州滨江店）,全季酒店（杭州滨江店）,294,4.6
杭州云廊小庐,杭州云廊小庐,298,4.7
全季酒店（杭州火车东站店）,全季酒店（杭州火车东站店）,294,4.7
锦辰精品酒店（西湖北线黄龙店）,锦辰精品酒店（西湖北线黄龙店）,284,4.6
锦江之星（杭州西湖文化广场店）,锦江之星（杭州西湖文化广场店）,216,4.7
杭州东和时代酒店,杭州东和时代酒店,228,4.6
蓝庭酒店式公寓（杭州星耀城店）,蓝庭酒店式公寓（杭州星耀城店）,297,4.7
杭州老叶和九十九个老板娘·桂庐度假山宿,杭州老叶和九十九个老板娘·桂庐度假山宿,270,4.6
杭州湘舍精品酒店,杭州湘舍精品酒店,228,4.7
果岭酒店（杭州西溪湿地店）,果岭酒店（杭州西溪湿地店）,258,4.7
果丁酒店式公寓（杭州奥体中心店）（原世纪晶钻店）,果丁酒店式公寓（杭州奥体中心店）（原世纪晶钻店）,208,4.6
杭州冠锦酒店公寓,杭州冠锦酒店公寓,238,4.7
杭州云溪涧度假别院,杭州云溪涧度假别院,270,4.6
杭州景澜精品酒店,杭州景澜精品酒店,204,4.6
杭州醉梦创意酒店,杭州醉梦创意酒店,234,4.7
杭州新华之星假日酒店,杭州新华之星假日酒店,220,4.6
杭州萧山华荣商旅酒店,杭州萧山华荣商旅酒店,228,4.7
杭州高新商务酒店,杭州高新商务酒店,286,4.6
杭州百悦商务酒店,杭州百悦商务酒店,209,4.7
杭州油菜花度假客栈,杭州油菜花度假客栈,228,4.7
杭州紫涵小舍精品民宿（满陇桂雨店）,杭州紫涵小舍精品民宿（满陇桂雨店）,298,4.6
富阳太阳城假日酒店,富阳太阳城假日酒店,236,4.7
杭州清静旅店,杭州清静旅店,242,4.7
杭州阿弥书舍,杭州阿弥书舍,277,4.7
杭州暖树酒店,杭州暖树酒店,276,4.6
杭州贝轩公寓酒店,杭州贝轩公寓酒店,227,4.7
杭州萧山花缘名舍精品酒店,杭州萧山花缘名舍精品酒店,238,4.6
杭州亚伦大酒店,杭州亚伦大酒店,202,4.6
杭州忆香宁山居别墅,杭州忆香宁山居别墅,258,4.7
杭州龚老汉农业休闲园,杭州龚老汉农业休闲园,210,4.7
杭州静雅客栈（原久栖连锁精品客栈西湖一店）,杭州静雅客栈（原久栖连锁精品客栈西湖一店）,209,4.7
浙江音乐学院国际交流中心,浙江音乐学院国际交流中心,256,4.6
